Depth	AC	CNL	DEN	GR	PE	RLLD	LIMSTONE	LIMSTON_BP	LIMSTON_DT	LIMSTON_SVM	LIMSTON_STACK	LIMSTON_RF	LIMSTON_ADA	LIMSTON_XGB	LIMSTON_GBC
3471.875	168.8280029	5.772	2.822999954	74.6989975	3.559999943	314.7890015000001	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3472.0	167.6380005	5.704	2.815999985	70.54399872	3.51699996	336.00201419999996	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3472.125	164.8860016	5.172	2.809999943	57.34799957	3.487999916	382.0750122000002	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3472.25	162.3589935	4.569	2.808000088	42.08300018	3.480000019	427.1019898	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3472.375	161.4989929	4.323	2.808000088	34.60400009	3.5	433.04800420000015	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3472.5	162.7299957	4.509	2.808000088	39.56100082	3.549999952	392.29299929999985	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3472.625	165.5350037	5.061	2.805000067	55.24499893	3.631000042	338.8670043999999	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3472.75	168.3769989	5.921	2.799000025	74.39499664	3.723999977	293.88800050000003	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3472.875	170.4309998	6.957	2.792999983	89.15599823	3.792999983	261.65399169999995	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3473.0	171.923996	7.743	2.789999962	93.85900116	3.812000036	249.4459992	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3473.125	172.4850006	7.916	2.792000055	89.68900299	3.799999952	264.7219849	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3473.25	171.7830048	7.504	2.796999931	81.40799713	3.788000107	306.97399899999994	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3473.375	169.9949951	6.688	2.802000046	72.65599823	3.773000002	360.47500610000003	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3473.5	167.3829956	5.678	2.806999922	62.62200165	3.74000001	418.56298830000014	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3473.625	164.6069946	4.83	2.811000109	51.125	3.701999903	489.3749999999998	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3473.75	162.5650024	4.4	2.812999964	47.17900085	3.694000006	549.3150023999998	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3473.875	161.345993	4.247	2.811000109	50.31100082	3.719000101	573.242981	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3474.0	160.3860016	4.047	2.809999943	49.74399948	3.730000019	590.0490111999997	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
