Depth	AC	CNL	DEN	GR	PE	RLLD	LIMSTONE	RES
3381.6	160.644	5.131	2.745	17.486	3.532	601.333	1	6
3381.7	159.592	5.236	2.756	16.788	3.473	521.968	4	6
3381.8	158.987	5.32	2.765	17.032	3.385	524.336	4	6
3381.9	158.755	5.441	2.774	18.07	3.266	579.47	4	6
3382	158.818	5.602	2.781	19.59	3.138	654.175	4	6
3382.1	159.075	5.715	2.784	21.116	3.058	704.968	4	6
3382.2	159.238	5.749	2.783	22.563	3.041	722.158	4	6
3382.3	159.218	5.691	2.779	23.637	3.086	716.766	4	6
3382.4	158.988	5.543	2.771	23.911	3.178	703.005	4	6
3382.5	158.577	5.359	2.765	22.946	3.308	698.971	4	6
3382.6	158.209	5.258	2.765	21.19	3.444	733.619	4	6
3382.7	158.13	5.221	2.768	20.892	3.559	780.772	4	6
3382.8	158.373	5.223	2.772	23.019	3.629	822.652	4	6
3382.9	158.913	5.239	2.775	28.001	3.635	847.249	5	0
3383	159.664	5.326	2.775	35.654	3.555	846.289	5	0
3383.1	160.388	5.661	2.772	42.631	3.466	811	5	0
3383.2	160.859	6.232	2.77	46.856	3.397	748.719	5	0
3383.3	161.01	6.958	2.769	49.592	3.359	661.364	5	0
3383.4	160.791	7.694	2.771	51.379	3.355	561.838	5	0
3383.5	160.182	8.058	2.778	52.256	3.366	475.144	5	0
3383.6	159.097	7.876	2.789	48.692	3.353	514.012	5	0
3383.7	157.882	7.379	2.801	42.148	3.309	693	5	0
3383.8	156.688	6.754	2.813	35.282	3.235	984.579	5	0
3383.9	155.635	6.176	2.821	29.19	3.138	1346.251	5	0
3384	154.825	5.842	2.827	24.081	3.04	1713.173	3	0
3384.1	154.502	5.757	2.83	20.718	2.965	1876.712	3	0
3384.2	154.619	5.828	2.83	19.99	2.917	1810.664	3	0
3384.3	155.22	6.04	2.827	22.376	2.893	1570.641	3	0
3384.4	156.32	6.429	2.82	28.093	2.889	1222.957	5	0
3384.5	157.879	7.197	2.811	36.951	2.904	852.592	5	0
3384.6	159.608	8.239	2.803	47.544	2.93	576.107	5	0
3384.7	160.807	9.209	2.795	55.495	2.969	382.784	5	0
3384.8	161.207	9.841	2.787	57.484	3.018	265.369	5	0
3384.9	160.697	9.912	2.781	52.495	3.076	217.073	5	0
3385	159.326	9.29	2.775	41.582	3.138	226.1	5	0
3385.1	157.584	8.537	2.771	32.619	3.191	271.905	5	0
3385.2	156.52	7.941	2.769	27.465	3.227	314.527	5	0
3385.3	156.407	7.648	2.769	26.244	3.239	345.609	5	0
3385.4	157.281	7.722	2.771	29.518	3.225	358.344	5	0
